 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Peso ao nascer: 2500 a 2999 g, 3000 a 3999 g
Período:2010
"Município";"Nascim_p/resid.mãe"
"130280 MARAA";309
"130290 MAUES";1102
"130300 NHAMUNDA";254
"130310 NOVA OLINDA DO NORTE";495
"130320 NOVO AIRAO";226
"130330 NOVO ARIPUANA";340
"130340 PARINTINS";1885
"130350 PAUINI";222
"130353 PRESIDENTE FIGUEIREDO";458
"130356 RIO PRETO DA EVA";323
"130360 SANTA ISABEL DO RIO NEGRO";278
"130370 SANTO ANTONIO DO ICA";434
"130380 SAO GABRIEL DA CACHOEIRA";609
"130390 SAO PAULO DE OLIVENCA";701
"130395 SAO SEBASTIAO DO UATUMA";154
"130400 SILVES";180
"130406 TABATINGA";1237
"130410 TAPAUA";347
"130420 TEFE";1470
"130423 TONANTINS";282
"130426 UARINI";279
"130430 URUCARA";267
"130440 URUCURITUBA";296
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";213
"140005 ALTO ALEGRE";450
"140010 BOA VISTA";5241
"140015 BONFIM";200
"140017 CANTA";245
"140020 CARACARAI";306
"140023 CAROEBE";140
"140028 IRACEMA";114
"140030 MUCAJAI";280
"140040 NORMANDIA";218
"140045 PACARAIMA";235
"140047 RORAINOPOLIS";316
"140050 SAO JOAO DA BALIZA";118
"140060 SAO LUIZ";71
"140070 UIRAMUTA";222
" MUNICIPIO IGNORADO - PA";1
"150010 ABAETETUBA";2267
"150013 ABEL FIGUEIREDO";97
"150020 ACARA";699
"150030 AFUA";572
"150034 AGUA AZUL DO NORTE";162
"150040 ALENQUER";1001
"150050 ALMEIRIM";640
"150060 ALTAMIRA";1743
"150070 ANAJAS";559
"150080 ANANINDEUA";8526
"150085 ANAPU";334
"150090 AUGUSTO CORREA";954
"150095 AURORA DO PARA";351
"150100 AVEIRO";197
"150110 BAGRE";399
"150120 BAIAO";508
"150125 BANNACH";42
"150130 BARCARENA";1726
"150140 BELEM";19234
"150145 BELTERRA";162
"150150 BENEVIDES";883
"150157 BOM JESUS DO TOCANTINS";209
"150160 BONITO";174
"150170 BRAGANCA";1951
"150172 BRASIL NOVO";226
"150175 BREJO GRANDE DO ARAGUAIA";117
"150178 BREU BRANCO";763
"150180 BREVES";1690
"150190 BUJARU";446
"150195 CACHOEIRA DO PIRIA";272
"150200 CACHOEIRA DO ARARI";217
"150210 CAMETA";2333
"150215 CANAA DOS CARAJAS";592
"150220 CAPANEMA";1020
"150230 CAPITAO POCO";708
"150240 CASTANHAL";3018
"150250 CHAVES";228
"150260 COLARES";139
"150270 CONCEICAO DO ARAGUAIA";715
"150275 CONCORDIA DO PARA";435
"150276 CUMARU DO NORTE";107
"150277 CURIONOPOLIS";284
"150280 CURRALINHO";471
"150285 CURUA";216
"150290 CURUCA";422
"150293 DOM ELISEU";669
"150295 ELDORADO DOS CARAJAS";529
"150300 FARO";129
"150304 FLORESTA DO ARAGUAIA";255
"150307 GARRAFAO DO NORTE";437
