"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Rede geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1500107";"Abaetetuba (PA)";"Total";"Total";"26,66"
"1500131";"Abel Figueiredo (PA)";"Total";"Total";"81,10"
"1500206";"Acará (PA)";"Total";"Total";"31,63"
"1500305";"Afuá (PA)";"Total";"Total";"25,97"
"1500347";"Água Azul do Norte (PA)";"Total";"Total";"14,81"
"1500404";"Alenquer (PA)";"Total";"Total";"32,67"
"1500503";"Almeirim (PA)";"Total";"Total";"69,91"
"1500602";"Altamira (PA)";"Total";"Total";"18,93"
"1500701";"Anajás (PA)";"Total";"Total";"7,52"
"1500800";"Ananindeua (PA)";"Total";"Total";"36,20"
"1500859";"Anapu (PA)";"Total";"Total";"7,37"
"1500909";"Augusto Corrêa (PA)";"Total";"Total";"45,83"
"1500958";"Aurora do Pará (PA)";"Total";"Total";"56,70"
"1501006";"Aveiro (PA)";"Total";"Total";"29,51"
"1501105";"Bagre (PA)";"Total";"Total";"39,75"
"1501204";"Baião (PA)";"Total";"Total";"62,94"
"1501253";"Bannach (PA)";"Total";"Total";"33,94"
"1501303";"Barcarena (PA)";"Total";"Total";"32,76"
"1501402";"Belém (PA)";"Total";"Total";"75,49"
"1501451";"Belterra (PA)";"Total";"Total";"54,93"
"1501501";"Benevides (PA)";"Total";"Total";"69,64"
"1501576";"Bom Jesus do Tocantins (PA)";"Total";"Total";"48,57"
"1501600";"Bonito (PA)";"Total";"Total";"64,03"
"1501709";"Bragança (PA)";"Total";"Total";"37,54"
"1501725";"Brasil Novo (PA)";"Total";"Total";"51,42"
"1501758";"Brejo Grande do Araguaia (PA)";"Total";"Total";"67,64"
"1501782";"Breu Branco (PA)";"Total";"Total";"24,26"
"1501808";"Breves (PA)";"Total";"Total";"35,24"
"1501907";"Bujaru (PA)";"Total";"Total";"39,57"
"1501956";"Cachoeira do Piriá (PA)";"Total";"Total";"20,13"
"1502004";"Cachoeira do Arari (PA)";"Total";"Total";"29,93"
"1502103";"Cametá (PA)";"Total";"Total";"50,14"
"1502152";"Canaã dos Carajás (PA)";"Total";"Total";"30,80"
"1502202";"Capanema (PA)";"Total";"Total";"23,14"
"1502301";"Capitão Poço (PA)";"Total";"Total";"60,35"
"1502400";"Castanhal (PA)";"Total";"Total";"45,17"
"1502509";"Chaves (PA)";"Total";"Total";"14,83"
"1502608";"Colares (PA)";"Total";"Total";"77,54"
"1502707";"Conceição do Araguaia (PA)";"Total";"Total";"42,56"
"1502756";"Concórdia do Pará (PA)";"Total";"Total";"13,37"
"1502764";"Cumaru do Norte (PA)";"Total";"Total";"32,69"
"1502772";"Curionópolis (PA)";"Total";"Total";"37,09"
"1502806";"Curralinho (PA)";"Total";"Total";"21,66"
"1502855";"Curuá (PA)";"Total";"Total";"70,88"
"1502905";"Curuçá (PA)";"Total";"Total";"86,68"
"1502939";"Dom Eliseu (PA)";"Total";"Total";"77,43"
"1502954";"Eldorado do Carajás (PA)";"Total";"Total";"24,47"
"1503002";"Faro (PA)";"Total";"Total";"74,62"
"1503044";"Floresta do Araguaia (PA)";"Total";"Total";"1,74"
"1503077";"Garrafão do Norte (PA)";"Total";"Total";"25,84"
"1503093";"Goianésia do Pará (PA)";"Total";"Total";"9,04"
"1503101";"Gurupá (PA)";"Total";"Total";"34,74"
"1503200";"Igarapé-Açu (PA)";"Total";"Total";"72,32"
"1503309";"Igarapé-Miri (PA)";"Total";"Total";"16,04"
"1503408";"Inhangapi (PA)";"Total";"Total";"45,53"
"1503457";"Ipixuna do Pará (PA)";"Total";"Total";"55,40"
"1503507";"Irituia (PA)";"Total";"Total";"59,42"
"1503606";"Itaituba (PA)";"Total";"Total";"13,32"
"1503705";"Itupiranga (PA)";"Total";"Total";"4,44"
"1503754";"Jacareacanga (PA)";"Total";"Total";"41,12"
"1503804";"Jacundá (PA)";"Total";"Total";"26,02"
"1503903";"Juruti (PA)";"Total";"Total";"56,65"
"1504000";"Limoeiro do Ajuru (PA)";"Total";"Total";"23,32"
"1504059";"Mãe do Rio (PA)";"Total";"Total";"20,01"
"1504109";"Magalhães Barata (PA)";"Total";"Total";"89,73"
"1504208";"Marabá (PA)";"Total";"Total";"38,71"
"1504307";"Maracanã (PA)";"Total";"Total";"63,58"
"1504406";"Marapanim (PA)";"Total";"Total";"67,44"
"1504422";"Marituba (PA)";"Total";"Total";"38,76"
"1504455";"Medicilândia (PA)";"Total";"Total";"25,19"
"1504505";"Melgaço (PA)";"Total";"Total";"11,09"
"1504604";"Mocajuba (PA)";"Total";"Total";"56,35"
"1504703";"Moju (PA)";"Total";"Total";"33,54"
"1504802";"Monte Alegre (PA)";"Total";"Total";"46,38"
"1504901";"Muaná (PA)";"Total";"Total";"44,14"
"1504950";"Nova Esperança do Piriá (PA)";"Total";"Total";"4,69"
"1504976";"Nova Ipixuna (PA)";"Total";"Total";"4,50"
"1505007";"Nova Timboteua (PA)";"Total";"Total";"71,51"
"1505031";"Novo Progresso (PA)";"Total";"Total";"33,42"
"1505064";"Novo Repartimento (PA)";"Total";"Total";"8,30"
"1505106";"Óbidos (PA)";"Total";"Total";"57,08"
"1505205";"Oeiras do Pará (PA)";"Total";"Total";"44,45"
"1505304";"Oriximiná (PA)";"Total";"Total";"50,64"
"1505403";"Ourém (PA)";"Total";"Total";"41,95"
"1505437";"Ourilândia do Norte (PA)";"Total";"Total";"73,40"
