"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Tinham banheiro - de uso exclusivo do domicílio - rede geral de esgoto ou pluvial ou fossa séptica"
"1303007";"Nhamundá (AM)";"Total";"Total";"17,39"
"1303106";"Nova Olinda do Norte (AM)";"Total";"Total";"12,96"
"1303205";"Novo Airão (AM)";"Total";"Total";"15,48"
"1303304";"Novo Aripuanã (AM)";"Total";"Total";"13,14"
"1303403";"Parintins (AM)";"Total";"Total";"20,01"
"1303502";"Pauini (AM)";"Total";"Total";"19,51"
"1303536";"Presidente Figueiredo (AM)";"Total";"Total";"36,37"
"1303569";"Rio Preto da Eva (AM)";"Total";"Total";"9,12"
"1303601";"Santa Isabel do Rio Negro (AM)";"Total";"Total";"7,75"
"1303700";"Santo Antônio do Içá (AM)";"Total";"Total";"2,38"
"1303809";"São Gabriel da Cachoeira (AM)";"Total";"Total";"12,64"
"1303908";"São Paulo de Olivença (AM)";"Total";"Total";"3,90"
"1303957";"São Sebastião do Uatumã (AM)";"Total";"Total";"1,39"
"1304005";"Silves (AM)";"Total";"Total";"4,95"
"1304062";"Tabatinga (AM)";"Total";"Total";"23,45"
"1304104";"Tapauá (AM)";"Total";"Total";"18,39"
"1304203";"Tefé (AM)";"Total";"Total";"27,01"
"1304237";"Tonantins (AM)";"Total";"Total";"8,73"
"1304260";"Uarini (AM)";"Total";"Total";"11,50"
"1304302";"Urucará (AM)";"Total";"Total";"10,18"
"1304401";"Urucurituba (AM)";"Total";"Total";"21,97"
"1400027";"Amajari (RR)";"Total";"Total";"10,53"
"1400050";"Alto Alegre (RR)";"Total";"Total";"18,08"
"1400100";"Boa Vista (RR)";"Total";"Total";"54,42"
"1400159";"Bonfim (RR)";"Total";"Total";"39,33"
"1400175";"Cantá (RR)";"Total";"Total";"10,79"
"1400209";"Caracaraí (RR)";"Total";"Total";"56,54"
"1400233";"Caroebe (RR)";"Total";"Total";"15,45"
"1400282";"Iracema (RR)";"Total";"Total";"50,76"
"1400308";"Mucajaí (RR)";"Total";"Total";"3,30"
"1400407";"Normandia (RR)";"Total";"Total";"16,45"
"1400456";"Pacaraima (RR)";"Total";"Total";"25,07"
"1400472";"Rorainópolis (RR)";"Total";"Total";"10,97"
"1400506";"São João da Baliza (RR)";"Total";"Total";"21,97"
"1400605";"São Luiz (RR)";"Total";"Total";"43,83"
"1400704";"Uiramutã (RR)";"Total";"Total";"3,95"
