"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1500909";"Augusto Corrêa (PA)";"Coletado";"Total";"28,12"
"1500958";"Aurora do Pará (PA)";"Coletado";"Total";"30,18"
"1501006";"Aveiro (PA)";"Coletado";"Total";"19,00"
"1501105";"Bagre (PA)";"Coletado";"Total";"38,00"
"1501204";"Baião (PA)";"Coletado";"Total";"34,88"
"1501253";"Bannach (PA)";"Coletado";"Total";"34,65"
"1501303";"Barcarena (PA)";"Coletado";"Total";"82,95"
"1501402";"Belém (PA)";"Coletado";"Total";"96,72"
"1501451";"Belterra (PA)";"Coletado";"Total";"39,75"
"1501501";"Benevides (PA)";"Coletado";"Total";"85,42"
"1501576";"Bom Jesus do Tocantins (PA)";"Coletado";"Total";"54,86"
"1501600";"Bonito (PA)";"Coletado";"Total";"33,56"
"1501709";"Bragança (PA)";"Coletado";"Total";"61,48"
"1501725";"Brasil Novo (PA)";"Coletado";"Total";"45,85"
"1501758";"Brejo Grande do Araguaia (PA)";"Coletado";"Total";"43,75"
"1501782";"Breu Branco (PA)";"Coletado";"Total";"64,26"
"1501808";"Breves (PA)";"Coletado";"Total";"53,87"
"1501907";"Bujaru (PA)";"Coletado";"Total";"31,05"
"1501956";"Cachoeira do Piriá (PA)";"Coletado";"Total";"18,85"
"1502004";"Cachoeira do Arari (PA)";"Coletado";"Total";"32,60"
"1502103";"Cametá (PA)";"Coletado";"Total";"44,61"
"1502152";"Canaã dos Carajás (PA)";"Coletado";"Total";"84,21"
"1502202";"Capanema (PA)";"Coletado";"Total";"82,88"
"1502301";"Capitão Poço (PA)";"Coletado";"Total";"49,22"
"1502400";"Castanhal (PA)";"Coletado";"Total";"90,27"
"1502509";"Chaves (PA)";"Coletado";"Total";"13,65"
"1502608";"Colares (PA)";"Coletado";"Total";"32,04"
"1502707";"Conceição do Araguaia (PA)";"Coletado";"Total";"66,66"
"1502756";"Concórdia do Pará (PA)";"Coletado";"Total";"56,71"
